addresses,numberOfPositions,availableMargins,totalRequiredMargins,marginLevels
8BGJTBtg3yETaG3s8rQTCZ5dnmxWCG4B8ZjzCgRwzACU,3.0,2120773909954772.2,1518861243337442.2,1396292070297829.2
5tGZCdf3oyW8VqbMUppCf5Kj56mJDm1pwYhkQXWYi3eV,2.0,1.4034493227373572e16,1.0043140602327494e16,1397420765384991.8
Hm8XSwZ73RzAFdt6834MP5cGrnpJHuEYWnHChL1Gyrib,4.0,2895064096762345.0,2067389911667200.0,1400347404436972.2
G4RrbASpWzswsoXb2KkDrhSdacWs2UvvjgHZKz7qRFQm,6.0,5.878199514850597e17,4.195799425241653e17,1400972477256118.5
GAohpkjS4fseLwTtaaayGv1Sg7qqFV5fMF29NdxVz7Bx,1.0,3093780932507150.0,2207467324275745.2,1401507011444528.8
7SEpH77Jmw7FJnSZ89pNfYjeAYP7qGCYZxqjxRTft7xJ,7.0,2.759621442255238e16,1.968923733655177e16,1401588794469038.8
5GLzxbTiTtaVjo2febiCJBM4kkVvV1EXgmkp2KgHgMih,1.0,1.3842370591880142e16,9865644702985030.0,1403088293630915.0
4JCe1KZY8mw9fCSzbmZRz4beyDw1Xfnrv67z9BDN5EN4,2.0,3.775238712054609e16,2.6874887600801456e16,1404745860943442.5
CsSHr2tpmXBVurKpubBgGTD7RKbUUxdHQ4NhPVZ9vV3Q,4.0,2369294028750161.0,1683763668045441.2,1407141675351923.0
FKLa55FxcVAz6RmGVn9enxG8u9hnpRL6XrfSEni9yfT1,3.0,2.0301586007185012e16,1.4415373112779026e16,1408328861719711.0
Dec3v4nGQ6QCuDGh7Z54PjaAJrrotJKqSVZ3DjVVrrE9,2.0,2.1832296825208776e16,1.550179961985551e16,1408371760737046.0
9FA95W8AQYbWdwPhrKiHpJmmoE6ryQwWc2ZPMZvdwYjv,6.0,9208860704878508.0,6528539712544369.0,1410554444079430.5
GiRNFCZ8ofBjwMySh1dkxudfaaZB6ghFqoAvNdUK3YBu,4.0,9359209640315984.0,6634986198233551.0,1410584643387458.8
dLq8Vhuteq9gAE6yRtra2sUZHow65LM12cQpgto2H1S,1.0,2.3578669087133504e16,1.669674807505393e16,1412171339062223.2
4uFPoSLocGcjbynwQFFFkjnCG58AkDmTKqBYUYptYB2q,7.0,2.0314518089620344e16,1.436874878011333e16,1413798682160557.5
AgRS8PtqkQPxSTxDZ1UPkdVndojgDcZbzTT7iFYTKEmP,3.0,2194315686592482.5,1551466671444732.2,1414349226431739.5
42oFHPbzuunsCFH4Ac2i1YcetRzY5RNgP8maAmE8o53v,3.0,8354755387828177.0,5894793374296406.0,1417310982308245.8
DPZhYixTU8v8jiD4cgiPm6hiA9j2FhtEcRp6XkiqcnCM,10.0,1.0708736951170424e17,7.547838515453773e16,1418781937271828.2
6AHxDPbPa5TMpK4gSe8HWkgN5RV5hpxTxYkD4Z4NZonS,2.0,6.290860228997544e16,4.428481593470606e16,1420545642161603.5
5GuFhVt6u8ocKXB7mTs6HW4VdqWAgvvmCM3obbbFbn89,5.0,3000940126963010.5,2112065914414753.8,1420855337175668.0
3p2Yf12yCG2SRRBNWoGHrmqNP1yXXge18EzTMj2KxmX7,5.0,5.9730841952282536e16,4.2030230150330584e16,1421140016094171.5
BQJuT3N8aDwAwXU2greRzDvMAibrLQWAxBN6FPVQNRpi,1.0,2.3591491600673076e16,1.65644130888849e16,1424227437101499.8
3QZ1G4hgar8AmFTy5a8SQRdjTE1doemn3Hvi93w4Ds84,1.0,3427972832283749.0,2403822163109307.0,1426050930427282.2
GCDTygk7beDJkRu7hmUmSernEWz33sBJAyCrHBTqaBAR,1.0,3615466223937197.0,2530626310122050.5,1428684357495210.5
FY9yTxc7o5oiCj6CfbKUoBVDgWEw6eBmHUtuWoXPFfVf,4.0,2.7937606076893636e16,1.954904955207803e16,1429103036568031.8
H5KiQ4ozMAZHym9pUcKhoJmqKR7iF7qE1aDKfMdu3iAH,4.0,2958479213766984.0,2069392538469753.2,1429636552161670.0
3rxZg2cKgXRg3aHnp8rnzvGnEBvMqX2R8sYLadDg2kkn,1.0,2.5129306959484582e17,1.75567364361607e17,1431319940973030.2
27Spf2Y16iRyERheyiUDf5AX1c2jHfrXNidq5MA3LAAq,4.0,4.408592277306482e17,3.0782929362911386e17,1432154888617633.0
FPygVubhvZ4gstkmKpdoP72aB1bff58kkvRuMn5HmJLi,2.0,3.4457629256920596e16,2.403653163862824e16,1433552468174942.2
9DDJKozYkYr8oA3N9seMbRNCV28CSd2ibPgnHqQqAAiv,5.0,2510706503351368.5,1750729478651933.0,1434091636638585.5
BDXZun3s4NRHMbpn8CrT4QxWCCWqVwUM17mmHDtExt9L,7.0,7242273616634239.0,5039982318795244.0,1436964092041781.2
6cXXDdjsBAkULNGNttvJnpYozWYo6oWXxNtZVAZnJqyi,5.0,7776728347423401.0,5401699908842510.0,1439681670337332.5
6nGiVrDBdSS16tkLXGYuygaTnGsg1ZN4F1peHSrpBgHX,4.0,9518918838501804.0,6611571536466141.0,1439736193732485.5
6iRr6Y4BbPAJnd9L9ZfesFs25ke9qh4ozY6vJNrfwf97,2.0,7.953030564045614e16,5.520067915282666e16,1440748680288359.2
DV1mTF4FkztWCpr5q2szgeNpgHuo3Ph4VoGm4Z4SrBFY,7.0,4.2747672415360966e17,2.9665123915711334e17,1441007714541209.8
98SXTsRmagerQs31yL68CaVyB7h11T92uUbH8AP5iT7V,4.0,1.6764886549857136e17,1.162134222408216e17,1442594687136597.8
2CgNhuNiTYJftQULGAUSGfmWpfcLmCvuZwEsAfRuuf4j,1.0,3457461347223233.0,2393705940646858.5,1444396861165374.5
FsB2RkDesXBB7Mhya8TrZa7Eip8hsK41Q4wxC4CMCkPe,2.0,5.904593387776657e16,4.0851128104242904e16,1445392982223027.2
5rJByfKVSv6AFEbcS9xrtF5ZrxQeBu31SZssoFvxdeUE,1.0,7.125466524910711e16,4.919662806723975e16,1448364817843194.8
D7bbottShUNywhnNneUesiZSFV5oAjksrCDuqkweQ1oP,2.0,6764247169100622.0,4667838486415038.0,1449117656659893.0
FC2MFgZExpfcegABRrJZkqAk87xg7PqfjC6qV3d3TRK4,5.0,6.046973847232308e17,4.1704964865032006e17,1449941000262647.8
FcJeMgRfEpkNoYwQxuqAshS21LrZsB3wFqYH8wGhoLiY,1.0,2086905247354606.8,1436450911982821.2,1452820440953268.2
Fk5oruRrnBdNfboABRovSR53au5TKe9Q9oPhFqaGYwEV,1.0,1.5747274579280378e16,1.0837349548532152e16,1453055888689429.8
5owJzujqrtVTAoViMowR2BF2Ny2gzXkJ2ttoSM2kuDXF,4.0,2993619531604018.5,2059885839428701.5,1453293903138963.8
8THiXL3PbjTWdJf6U1SYChT6ve8goa7JMDgmoAh4dYcv,6.0,8.050060660882152e16,5.534986988739606e16,1454395588871160.8
9kUuNNFWuvTeh6zpZuK4JENf6H2s8FiDAYp6X7myUXjM,5.0,3818336152645774.5,2623974823243316.5,1455172556848769.5
G4SK1bbvN5DbwPbqLoE91PGiSaYUmRqaCCkYuCYoUpSv,3.0,1.3674773968157032e16,9396361631112708.0,1455326487528735.0
Bo8AM1q6aZj6SN62vWbasbRstxgAtMUQH86ApeygdVj7,1.0,4.83238414293217e16,3.314641044172968e16,1457890636884300.2
6XXRwJLjFhLeAYPBPUJ5F1XU1EQFgCe4XgExEWRFebw1,2.0,8.566973318098558e16,5.876104624114756e16,1457934101945842.2
EjoxyzzwQwM9E9ZYxd9zXVYa6geg94efXBJr6GW5u6HT,1.0,9.296459966056413e16,6.376365873288225e16,1457955856172087.2
5xPyd86T7yP3ZQFimC7EzRuJKUKLg8uaZx6LSsw18bvb,9.0,6.365323681432312e17,4.364237162223826e17,1458519197015594.5
7jETxB9x5jmKNSum7VrLhxNJET3toT9vtPH1iBtiqyVM,3.0,2.0479285419863716e16,1.400399213176103e16,1462389097849943.2
